t,T
0,69.94452594963596
1,69.89718049444929
2,69.95016163511757
3,69.95007018577688
4,70.05580166020223
5,69.99011666316414
6,70.00951479905899
7,70.06501182544791
8,70.04160452834337
9,69.87519392017781
10,70.07823858949949
11,69.99352237954963
12,69.8877641097082
13,69.9992348150946
14,69.97706912592592
15,69.88149170315899
16,70.02382828177258
17,70.01514195122324
18,70.01381636654742
19,70.02297619013167
20,69.98380886682536
21,69.96752178684399
22,70.04133320186516
23,69.99859432895244
24,70.05294419203557
25,69.98326136380825
26,70.0095831645245
27,70.00336945821506
28,70.04543943593033
29,69.89428214949217
30,30.010359460125695
31,30.095206708170554
32,30.429407201141938
33,30.430874195324623
34,30.589874288596494
35,30.634501466812758
36,30.65153258466602
37,31.034514393307088
38,30.975521269944498
39,30.95732949456686
40,31.05308442855758
41,31.22782393379494
42,31.385573382259675
43,31.63094923156253
44,31.662683967788524
45,32.020190533916754
46,31.794512330231782
47,32.04954718666138
48,32.04493540812283
49,32.18556790261462
50,32.30610200641825
51,32.501060169366276
52,32.430204012332815
53,32.51905255693143
54,32.697419196122105
55,32.7531579145127
56,32.736023856260225
57,32.88169736625152
58,33.07136972257022
59,32.98953482206742
60,32.945027847029074
61,33.419845159048684
62,33.41656065656289
63,33.292576564472256
64,33.393306560927506
65,33.437678011236606
66,33.49516422424748
67,33.59171977551323
68,33.670404519105524
69,33.691084415757786
70,33.95299162628005
71,33.87323657013681
72,34.05526444873854
73,33.90493117016979
74,33.998113828103364
75,34.07104468038104
76,34.044021332439605
77,34.31698785070629
78,34.33980954410326
79,34.323103985770324
80,34.48823064154743
81,34.721815698659896
82,34.63916683057977
83,34.59011411299717
84,34.82337319897823
85,34.74261108744482
86,34.91749560698631
87,34.882656238453464
88,34.87904267759339
89,35.06356446365288
90,35.087894760102145
91,35.35017514960908
92,35.24931464331784
93,35.17350752313345
94,35.33459928750925
95,35.191605427790485
96,35.362200473668175
97,35.57046132761915
98,35.430976197929716
99,35.569102432438555
100,35.361009333095744
101,35.72129414199325
102,35.63455790850955
103,35.480709111914756
104,35.77200148011078
105,35.71314813191088
106,35.741982176344486
107,35.89300088691434
108,35.93308823745232
109,35.852600020786646
110,35.93183146015944
111,35.91037369201351
112,35.768822843026896
113,35.97924301056319
114,36.03755492323094
115,36.15866172261909
116,36.08953732826375
117,36.21667379296942
118,36.09559542848795
119,36.27968333718396
120,36.23548946667303
121,36.27435661343899
122,36.30089041126543
123,36.452978312595064
124,36.25807999788514
125,36.33381894766195
126,36.3079066247518
127,36.55530933337983
128,36.39426446386848
129,36.44863825250706
130,36.49505003381592
131,36.52236197744141
132,36.77023770033528
133,36.857240152953025
134,36.680883588607465
135,36.45634923593234
136,36.56327398338319
137,36.62279890683138
138,36.6355448137609
139,36.722979828343426
140,36.764194430511445
141,36.85513299826459
142,36.67345025878639
143,36.6737245422077
144,36.766150990579234
145,36.89550286389808
146,36.837334165223
147,36.93157592906548
148,36.80340590772781
149,37.069294466878844
150,36.98692946666051
151,36.92697297551457
152,36.8670120522459
153,37.119886436496
154,37.024737900167246
155,37.08078416551862
156,37.206949072160114
157,36.861327813409616
158,37.23203519453854
159,37.09396442387029
160,37.09277750873075
161,37.13753182898896
162,37.265066108102566
163,37.20847241223119
164,37.051468747162566
165,37.17244128956727
166,37.22980348597622
167,37.12799322904944
168,37.08451838109979
169,37.09258495364416
170,37.1102669062045
171,37.209358176885914
172,37.229801038772614
173,37.3991945830838
174,37.29313458172721
175,37.22111173631641
176,37.32473029687026
177,37.419620758489806
178,37.39812111224494
179,37.30323030870039
180,37.92014785145589
181,37.972822435644126
182,38.029767164205346
183,37.954844324031946
184,37.96980641146526
185,38.0446104258268
186,38.11391190765436
187,38.04921619171881
188,38.15917750753299
189,38.171758616461965
190,38.0736346216806
191,38.15486948999399
192,38.13824438484667
193,38.109309707444154
194,38.15189625509743
195,38.13775354397918
196,38.183562791881904
197,38.19663969585051
198,38.19229868683826
199,38.20453675130074
200,38.21826631598344
201,38.20961935375585
202,38.18881876065669
203,38.18400938048478
204,38.20888885395677
205,38.19673834827721
206,38.21439857042606
207,38.24813438861244
208,38.194432343957
209,38.28450498496398
210,38.36115672943879
211,38.37693223474049
212,38.31229830447001
213,38.254434543742434
214,38.2807329965087
215,38.24967088775066
216,38.18952385501179
217,38.307035352726004
218,38.32464058442494
219,38.30178135035574
220,38.23047367045503
221,38.30520602868499
222,38.32664827813294
223,38.341239749470994
224,38.28424924942322
225,38.318782572541394
226,38.28997013264521
227,38.30921394277691
228,38.37322100010782
229,38.40482083692003
230,38.37389642590982
231,38.29250920896246
232,38.32997176545429
233,38.43127113930173
234,38.36076318556084
235,38.448418687588315
236,38.32626038353751
237,38.406396015149056
238,38.31085678907982
239,38.40157636630155
240,38.402849144351116
241,38.47882244410327
242,38.40261190864074
243,38.445269294068076
244,38.396122513858984
245,38.432806776505906
246,38.34538190584744
247,38.39394324862543
248,38.352080932264
249,38.372756214528216
250,38.411180047108964
251,38.37501596907331
252,38.39575393647197
253,38.44760145277925
254,38.44546684090099
255,38.433414752379214
256,38.438130890784045
257,38.51062442502353
258,38.46801445160339
259,38.367021778661254
260,38.45556826966907
261,38.3222561246365
262,38.46948451496314
263,38.48173126551509
264,38.454342892273544
265,38.4799450530673
266,38.509604421294746
267,38.373824331441725
268,38.41644266746244
269,38.52400813885213
270,38.43064262989308
271,38.35929140050943
272,38.45278527388545
273,38.4746202019762
274,38.46319932675932
275,38.41156469753259
276,38.42840576292177
277,38.43335395369582
278,38.40280047302342
279,38.52846709663838
280,38.433438007307174
281,38.45439732043144
282,38.443773028768085
283,38.505820763567854
284,38.448008102931425
